"month","year","price","price_naftogaz"
1,2017,8330,8374.8
2,2017,8784.07,10141.2
3,2017,8145.05,9439.2
4,2017,6786.91,8516.4
5,2017,6365.22,8282.4
6,2017,6841.44,8250
7,2017,6873.21,8008.8
8,2017,6812.67,8230.8
9,2017,7230.04,8749.2
10,2017,8327.64,9016.8
11,2017,8556.19,9692.4
12,2017,9050.45,9918
1,2018,9683.94,10732.8
2,2018,9159.13,10141.2
3,2018,8305.96,8889.6
4,2018,8647.78,9543.6
5,2018,9007.57,10041.6
6,2018,9304.39,10893.6
7,2018,9589.67,10893.6
8,2018,9861.2,11083.2
9,2018,11615.27,13338.2
10,2018,12369.21,14586
11,2018,12038.82,14586
12,2018,11736.4,12180
1,2019,10013.79,11833.2
